Date,bt_Open,bt_High,bt_Low,bt_Close,bt_Volume,bt_Market Cap,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume,eth_Market Cap
13-May-17,1723.12,1812.99,1651.08,1804.91,579635008,29471223857,88.69,93.81,86.66,90.84,88742200,8319066651
12-May-17,1845.76,1856.15,1694.01,1724.24,740984000,28150631936,89.43,93.12,88.66,88.66,145824992,8116816184
11-May-17,1780.37,1873.93,1755.35,1848.57,799489984,30176934751,89.77,102.55,88.48,89.88,132722000,8226220249
10-May-17,1756.52,1788.44,1719.1,1787.13,915723008,29170965564,91.15,92.85,85.29,89.52,145602000,8191083680
9-May-17,1723.89,1833.49,1716.3,1755.36,1167920000,28649119972,91.23,93.06,80.39,91.16,363433984,8338258352
8-May-17,1596.92,1723.35,1596.92,1723.35,1340320000,28123369330,93.75,95.14,89.51,91.42,231344000,8359085414
7-May-17,1579.47,1596.72,1559.76,1596.71,1080029952,26053077975,97.87,98.24,89.87,94.01,183295008,8592854298
6-May-17,1556.81,1578.8,1542.5,1578.8,582529984,25757608890,94.91,97.88,90.95,97.81,151462000,8937843151
5-May-17,1540.87,1618.03,1530.31,1555.45,946035968,25373374563,96.73,103.23,92.22,94.4,331928000,8622992171
4-May-17,1490.72,1608.91,1490.72,1537.67,933548992,25080858487,79.72,97.56,79.43,96.98,366847008,8856050446
3-May-17,1453.78,1492.77,1447.49,1490.09,583795968,24301634925,77.25,80.1,75.76,79.72,141922000,7277279246
2-May-17,1421.03,1473.9,1415.69,1452.82,477337984,23691443738,76.65,79.35,74.38,77.26,193772992,7050941746
1-May-17,1348.3,1434.32,1348.3,1421.6,713624000,23179524919,79.32,82.52,73.09,76.3,376841984,6960466482
30-Apr-17,1321.87,1347.91,1314.92,1347.89,413115008,21975104909,68.54,79.02,68.35,79.02,229944992,7206669917
29-Apr-17,1317.84,1327.2,1315.21,1321.79,422705984,21547126640,71.39,71.9,66.78,68.38,165448000,6233911088
28-Apr-17,1317.74,1331.28,1292.37,1316.48,527488992,21457669552,62.23,70.85,62.13,70.16,346545984,6394355247
27-Apr-17,1281.88,1319.7,1281.3,1317.73,449196992,21475836448,52.81,62.17,52.29,62.17,246775008,5664157655
26-Apr-17,1265.99,1294.83,1265.93,1281.08,329631008,20876159410,49.91,53.44,49.91,52.72,104884000,4801851008
25-Apr-17,1250.45,1267.58,1249.97,1265.49,242556000,20619704237,50.07,50.3,49.81,49.89,38264600,4542708761
